store,order_id,city,state,shipping_charged,order_total,Clean_State
victus,13398,,,0,245.0,Santa Cruz
victus,14578,,BO-S,0,394.98,Santa Cruz
victus,15710,,BO-S,0,139.98,Santa Cruz
victus,15725,,,15,254.98,Santa Cruz
victus,15721,,,0,244.99,Santa Cruz
victus,15958,,,0,219.99,Santa Cruz
victus,15828,,,0,69.99,Santa Cruz
victus,15981,,,0,139.99,Santa Cruz
victus,15985,,,15,150.0,Santa Cruz
victus,16003,,,0,69.99,Santa Cruz
victus,16077,,,0,149.99,Santa Cruz
victus,16078,,,0,39.99,Santa Cruz
victus,16772,,BO-S,0,109.98,Santa Cruz
victus,16010,,,0,59.99,Santa Cruz
victus,16791,,,25,241.99,Santa Cruz
victus,17167,,BO-C,15,154.98,Cochabamba
victus,17168,,BO-T,0,589.96,Tarija
victus,17178,,BO-S,15,130.0,Santa Cruz
victus,17179,,BO-O,20,2831.91,Oruro
victus,17196,,,0,109.98,Santa Cruz
victus,17199,,,15,84.99,Santa Cruz
victus,17201,,,15,194.99,Santa Cruz
victus,17202,Shinahota,BO-C,45,324.98,Cochabamba
victus,17217,,,0,729.96,Santa Cruz
victus,17218,,,0,169.98,Santa Cruz
victus,17221,,,15,74.99,Santa Cruz
victus,17189,,,0,139.99,Santa Cruz
victus,17227,,,0,91.0,Santa Cruz
victus,17228,,,25,154.98,Santa Cruz
victus,17232,,,0,69.99,Santa Cruz
victus,17224,,,0,149.99,Santa Cruz
victus,17239,,,0,69.99,Santa Cruz
victus,17366,,,0,189.98,Santa Cruz
victus,17368,,BO-S,0,159.99,Santa Cruz
victus,17983,,BO-L,15,194.98,La Paz
victus,18031,,BO-S,15,204.98,Santa Cruz
victus,18047,,BO-S,15,459.98,Santa Cruz
victus,18050,,,15,204.98,Santa Cruz
victus,18105,,,0,959.94,Santa Cruz
victus,18113,,,0,125.0,Santa Cruz
victus,17374,,,0,149.99,Santa Cruz
victus,18115,,,0,69.99,Santa Cruz
victus,18187,,,0,112.5,Santa Cruz
victus,18190,,,15,419.98,Santa Cruz
victus,18189,,,0,149.99,Santa Cruz
victus,18204,,,0,149.99,Santa Cruz
victus,18206,,,0,129.99,Santa Cruz
victus,18207,,BO-S,15,144.99,Santa Cruz
victus,18209,,,0,79.98,Santa Cruz
